Date,USD/CAD Close,USD/CAD High,USD/CAD Low
2001-06-26,1.5163,1.5203,1.5131
2001-06-27,1.5164,1.519,1.5103
2001-06-28,1.5215,1.5255,1.5133
2001-06-29,1.5132,1.5249,1.5132
2001-07-02,1.5136,1.5168,1.513
2001-07-03,1.5106,1.5148,1.507
2001-07-04,1.511,1.512,1.5078
2001-07-05,1.5109,1.5128,1.5074
2001-07-06,1.5218,1.523,1.5121
2001-07-09,1.5218,1.5239,1.5174
2001-07-10,1.52,1.5239,1.5186
2001-07-11,1.5242,1.5291,1.5185
2001-07-12,1.5272,1.5286,1.5237
2001-07-13,1.5393,1.5415,1.533
2001-07-16,1.5373,1.5428,1.5362
2001-07-17,1.54,1.5417,1.5347
2001-07-18,1.5393,1.5422,1.5325
2001-07-19,1.5418,1.5442,1.5363
2001-07-20,1.5425,1.5478,1.5399
2001-07-23,1.5445,1.5472,1.5418
2001-07-24,1.5398,1.545,1.5374
2001-07-25,1.5368,1.5408,1.5358
2001-07-26,1.533,1.5385,1.5309
2001-07-27,1.5326,1.5369,1.5293
2001-07-30,1.5299,1.5343,1.5288
2001-07-31,1.5306,1.5311,1.525
2001-08-01,1.5351,1.5379,1.533
2001-08-02,1.5364,1.5418,1.5355
2001-08-03,1.53,1.5366,1.5293
2001-08-06,1.5258,1.5306,1.5256
2001-08-07,1.5357,1.5359,1.5254
2001-08-08,1.535,1.5364,1.5305
2001-08-09,1.5398,1.5412,1.533
2001-08-10,1.5419,1.5435,1.5384
2001-08-13,1.5374,1.54,1.5367
2001-08-14,1.5365,1.5417,1.536
2001-08-15,1.5265,1.5366,1.5255
2001-08-16,1.5363,1.5365,1.5254
2001-08-17,1.5435,1.5447,1.535
2001-08-20,1.5451,1.5473,1.5423
2001-08-21,1.5481,1.5505,1.5437
2001-08-22,1.5431,1.5497,1.5419
2001-08-23,1.5415,1.5434,1.5403
2001-08-24,1.54,1.5421,1.5369
2001-08-27,1.5414,1.5442,1.5385
2001-08-28,1.5404,1.5439,1.5382
2001-08-29,1.5452,1.5465,1.538
2001-08-30,1.5466,1.5476,1.5438
2001-08-31,1.5502,1.5507,1.5454
2001-09-03,1.5505,1.552,1.549
2001-09-04,1.5606,1.5616,1.546
2001-09-05,1.5569,1.5638,1.5567
2001-09-06,1.5574,1.5599,1.5542
2001-09-07,1.566,1.5684,1.557
2001-09-10,1.563,1.5697,1.553
2001-09-11,1.565,1.5705,1.5592
2001-09-12,1.561,1.566,1.557
2001-09-13,1.5669,1.5701,1.562
2001-09-14,1.566,1.5707,1.5645
2001-09-17,1.5699,1.5706,1.5634
2001-09-18,1.5723,1.5735,1.5695
2001-09-19,1.5701,1.5726,1.5662
2001-09-20,1.5713,1.572,1.567
2001-09-21,1.5708,1.5723,1.5624
2001-09-24,1.57,1.5719,1.567
2001-09-25,1.5708,1.572,1.5658
2001-09-26,1.5723,1.5755,1.57
2001-09-27,1.5787,1.5797,1.5705
2001-09-28,1.5778,1.5813,1.576
2001-10-01,1.5729,1.5793,1.5724
2001-10-02,1.568,1.575,1.5673
2001-10-03,1.568,1.5697,1.5658
2001-10-04,1.5685,1.569,1.5651
2001-10-05,1.5612,1.5718,1.5607
2001-10-08,1.5625,1.564,1.5595
2001-10-09,1.5651,1.5665,1.5577
2001-10-10,1.5684,1.5696,1.5617
2001-10-11,1.5659,1.5685,1.5634
2001-10-12,1.5655,1.5687,1.5611
2001-10-15,1.5575,1.5627,1.5556
2001-10-16,1.5239,1.5651,1.5577
2001-10-17,1.5698,1.5705,1.5624
2001-10-18,1.5785,1.5802,1.5695
2001-10-19,1.5761,1.5786,1.5748
2001-10-22,1.5783,1.5808,1.5743
2001-10-23,1.5714,1.5803,1.5693
2001-10-24,1.5737,1.5776,1.5704
2001-10-25,1.5734,1.5764,1.5727
2001-10-26,1.5776,1.5784,1.5732
2001-10-29,1.5738,1.5771,1.5738
2001-10-30,1.578,1.5802,1.5737
2001-10-31,1.5879,1.5884,1.577
