Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2002-09-18,0.9762,0.9796,0.9687
2002-09-19,0.9844,0.9859,0.9762
2002-09-20,0.9805,0.9876,0.9783
2002-09-23,0.9778,0.9858,0.975
2002-09-24,0.9813,0.9838,0.9758
2002-09-25,0.9762,0.9853,0.9758
2002-09-26,0.9774,0.981,0.9728
2002-09-27,0.9793,0.9804,0.9749
2002-09-30,0.9865,0.9899,0.9806
2002-10-01,0.9847,0.9892,0.9828
2002-10-02,0.9846,0.986,0.9812
2002-10-03,0.9867,0.9908,0.9857
2002-10-04,0.9797,0.9882,0.9782
2002-10-07,0.982,0.9828,0.9778
2002-10-08,0.9782,0.9845,0.9764
2002-10-09,0.9903,0.9913,0.9779
2002-10-10,0.986,0.9926,0.9848
2002-10-11,0.9861,0.988,0.9834
2002-10-14,0.9865,0.9892,0.9857
2002-10-15,0.9805,0.9886,0.9792
2002-10-16,0.9818,0.9835,0.9803
2002-10-17,0.9717,0.9814,0.9697
2002-10-18,0.9716,0.9742,0.9698
2002-10-21,0.9739,0.9765,0.9688
2002-10-22,0.9785,0.9801,0.972
2002-10-23,0.9765,0.9796,0.9748
2002-10-24,0.9773,0.9778,0.9724
2002-10-25,0.9767,0.9795,0.9757
2002-10-28,0.9841,0.9847,0.9729
2002-10-29,0.9846,0.9867,0.983
2002-10-30,0.9846,0.9864,0.9815
2002-10-31,0.989,0.9908,0.9835
2002-11-01,0.9965,1.0004,0.989
2002-11-04,0.9972,0.9975,0.9935
2002-11-05,0.9995,1.0041,0.9972
2002-11-06,1.0026,1.005,0.9941
2002-11-07,1.0092,1.0097,0.9989
2002-11-08,1.0131,1.0149,1.0074
2002-11-11,1.01,1.017,1.0095
2002-11-12,1.0115,1.0137,1.0068
2002-11-13,1.0067,1.0129,1.0048
2002-11-14,1.0057,1.01,1.0029
2002-11-15,1.0088,1.0096,1.0013
2002-11-18,1.0086,1.0119,1.0062
2002-11-19,1.003,1.014,1.0008
2002-11-20,1.0017,1.0045,0.999
2002-11-21,1.001,1.004,0.9979
2002-11-22,0.997,1.0033,0.9961
2002-11-25,0.9955,0.997,0.991
2002-11-26,0.9924,0.9936,0.9896
2002-11-27,0.99,0.994,0.9876
2002-11-28,0.9948,0.9959,0.9889
2002-11-29,0.9943,0.9956,0.9915
2002-12-02,0.9972,0.9983,0.9861
2002-12-03,0.9956,1.0001,0.9957
2002-12-04,0.9997,1.0029,0.9963
2002-12-05,1.0004,1.0018,0.9971
2002-12-06,1.0091,1.0128,0.9998
2002-12-09,1.0098,1.0118,1.0068
2002-12-10,1.0092,1.014,1.0071
2002-12-11,1.008,1.01,1.006
2002-12-12,1.0185,1.0197,1.0077
2002-12-13,1.0224,1.026,1.017
2002-12-16,1.0222,1.0249,1.0195
2002-12-17,1.0285,1.0335,1.0211
2002-12-18,1.026,1.0283,1.0224
2002-12-19,1.0267,1.0288,1.0243
2002-12-20,1.0268,1.0276,1.0244
2002-12-23,1.0246,1.0317,1.0216
2002-12-24,1.0304,1.0326,1.0255
2002-12-25,1.031,1.0325,1.0295
2002-12-26,1.0372,1.0375,1.0329
2002-12-27,1.0439,1.0441,1.0362
2002-12-30,1.048,1.0483,1.0408
2002-12-31,1.0501,1.0504,1.0454
2003-01-01,1.0501,1.0504,1.0454
2003-01-02,1.036,1.0497,1.0333
2003-01-03,1.0415,1.0437,1.0342
2003-01-06,1.0472,1.0493,1.0416
2003-01-07,1.0415,1.0468,1.0399
2003-01-08,1.049,1.0534,1.036
2003-01-09,1.0485,1.0538,1.0495
2003-01-10,1.0583,1.0586,1.047
2003-01-13,1.0547,1.0582,1.0528
2003-01-14,1.0568,1.0598,1.0537
2003-01-15,1.0546,1.0592,1.0506
2003-01-16,1.0617,1.0628,1.0547
2003-01-17,1.0654,1.068,1.0607
2003-01-20,1.068,1.069,1.063
2003-01-21,1.0716,1.0733,1.0634
2003-01-22,1.0716,1.0737,1.0686
2003-01-23,1.0759,1.078,1.0706
2003-01-24,1.0838,1.085,1.074
2003-01-27,1.0854,1.0905,1.0781
2003-01-28,1.0819,1.0858,1.0784
2003-01-29,1.0832,1.09,1.0808
2003-01-30,1.0805,1.0844,1.0733
2003-01-31,1.0755,1.0831,1.0724
2003-02-03,1.0768,1.0791,1.0695
2003-02-04,1.0877,1.0905,1.077
2003-02-05,1.0804,1.0936,1.0739
2003-02-06,1.0832,1.0863,1.0765
2003-02-07,1.083,1.0836,1.0733
2003-02-10,1.0745,1.0828,1.0725
2003-02-11,1.0733,1.076,1.0667
2003-02-12,1.0719,1.077,1.0705
2003-02-13,1.0837,1.086,1.0705
2003-02-14,1.0774,1.085,1.0758
2003-02-17,1.0737,1.0791,1.0677
2003-02-18,1.0686,1.0756,1.0679
2003-02-19,1.0758,1.0765,1.0665
2003-02-20,1.0823,1.0836,1.0744
2003-02-21,1.0764,1.0846,1.075
2003-02-24,1.0793,1.0806,1.0708
2003-02-25,1.0764,1.0822,1.0744
2003-02-26,1.0801,1.0811,1.073
2003-02-27,1.0767,1.0836,1.0735
2003-02-28,1.08,1.0807,1.0736
2003-03-03,1.0887,1.0899,1.0769
2003-03-04,1.0879,1.0936,1.0877
2003-03-05,1.0973,1.1005,1.0886
2003-03-06,1.0973,1.1012,1.0927
2003-03-07,1.1007,1.1066,1.0968
2003-03-10,1.1045,1.1066,1.1001
2003-03-11,1.103,1.1084,1.1006
