Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
2006-06-14,2.2692,2.2742,2.2675
2006-06-15,2.2772,2.2783,2.2685
2006-06-16,2.2771,2.2827,2.2754
2006-06-19,2.2825,2.2867,2.2776
2006-06-20,2.2819,2.2883,2.2787
2006-06-21,2.2743,2.2838,2.2726
2006-06-22,2.2718,2.2795,2.2713
2006-06-23,2.2704,2.2761,2.2694
2006-06-26,2.2663,2.2726,2.2643
2006-06-27,2.2652,2.2702,2.2639
2006-06-28,2.266,2.2682,2.2613
2006-06-29,2.2616,2.2672,2.2588
2006-06-30,2.2604,2.2656,2.257
2006-07-03,2.2531,2.2636,2.2524
2006-07-04,2.2628,2.2637,2.2546
2006-07-05,2.2603,2.2654,2.2555
2006-07-06,2.2556,2.2626,2.2545
2006-07-07,2.2624,2.2632,2.2534
2006-07-10,2.264,2.2672,2.2598
2006-07-11,2.2621,2.2683,2.2561
2006-07-12,2.2614,2.2699,2.261
2006-07-13,2.2654,2.2693,2.2589
2006-07-14,2.2701,2.2717,2.2636
2006-07-17,2.2696,2.2727,2.2659
2006-07-18,2.2878,2.2911,2.2697
2006-07-19,2.2984,2.2988,2.2861
2006-07-20,2.3005,2.3034,2.2978
2006-07-21,2.2981,2.3023,2.2949
2006-07-24,2.3051,2.3121,2.2959
2006-07-25,2.3045,2.3084,2.3022
2006-07-26,2.3013,2.3081,2.3006
2006-07-27,2.3008,2.3053,2.2983
2006-07-28,2.2993,2.3069,2.2973
2006-07-31,2.2975,2.3022,2.2941
2006-08-01,2.3011,2.3091,2.2975
2006-08-02,2.3092,2.3114,2.2999
2006-08-03,2.324,2.3286,2.3084
2006-08-04,2.3326,2.3365,2.3224
2006-08-07,2.3363,2.3372,2.3287
2006-08-08,2.338,2.3399,2.3328
2006-08-09,2.3352,2.3409,2.3313
2006-08-10,2.3358,2.3415,2.3245
2006-08-11,2.3485,2.3498,2.3369
2006-08-14,2.3451,2.3511,2.3411
2006-08-15,2.3421,2.3499,2.3412
2006-08-16,2.3311,2.344,2.3312
2006-08-17,2.3221,2.3321,2.3219
2006-08-18,2.3187,2.327,2.3162
2006-08-21,2.3178,2.3234,2.3126
2006-08-22,2.3301,2.3333,2.317
2006-08-23,2.3372,2.3389,2.3291
2006-08-24,2.3401,2.341,2.3314
2006-08-25,2.3374,2.3424,2.3319
2006-08-28,2.3412,2.3444,2.3363
2006-08-29,2.3325,2.3428,2.3304
